Date,Amount,Category,Description
17-07-2024,125.5,Income,Salary
17-07-2024,1765.0,Income,Guarantee service
18-03-2020,15000.0,Income,Gift
01-01-2022,200.0,Expense,Groceries
05-06-2021,300.0,Expense,Electricity bill
10-10-2023,1000.0,Income,Freelance project
12-08-2020,450.0,Expense,Rent
03-09-2021,1200.0,Income,Bonus
25-12-2022,500.0,Expense,Christmas gifts
11-11-2021,350.0,Expense,Internet bill
20-05-2023,275.0,Income,Investment return
15-07-2024,600.0,Expense,Car repair
30-03-2021,700.0,Income,Tax refund
21-08-2023,150.0,Expense,Transportation
02-12-2022,400.0,Expense,Dining out
10-02-2021,800.0,Income,Stock dividends
07-04-2022,450.0,Expense,Health insurance
29-06-2023,100.0,Expense,Phone bill
14-07-2024,2000.0,Income,Consulting fee
06-01-2023,350.0,Expense,New clothes
22-09-2021,1500.0,Income,Side business
13-10-2020,500.0,Expense,Utilities
18-11-2022,900.0,Income,Overtime pay
30-05-2024,100.0,Expense,Entertainment
09-03-2023,125.0,Expense,Office supplies
27-02-2021,300.0,Expense,Pet care
08-05-2023,250.0,Income,Part-time job
23-04-2022,600.0,Expense,Vacation
15-12-2021,400.0,Expense,Holiday decorations
04-07-2020,800.0,Income,Rental income
12-01-2022,450.0,Expense,Gym membership
20-11-2021,500.0,Income,Online sales
05-05-2024,150.0,Expense,Books
28-02-2022,250.0,Income,Refund
